ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Gata6	ENSMUSG00000005836	14465	Gata6	18	GATA binding protein 6	protein_coding
Rbbp8	ENSMUSG00000041238	225182	Rbbp8	18	retinoblastoma binding protein 8, endonuclease	protein_coding
Gm6277	ENSMUSG00000097440	NA	Gm6277	18	predicted gene 6277	lncRNA
Cables1	ENSMUSG00000040957	63955	Cables1	18	CDK5 and Abl enzyme substrate 1	protein_coding
Tmem241	ENSMUSG00000049411	338363	Tmem241	18	transmembrane protein 241	protein_coding
Riok3	ENSMUSG00000024404	66878	Riok3	18	RIO kinase 3	protein_coding
3110002H16Rik	ENSMUSG00000024410	76482	Rmc1	18	regulator of MON1-CCZ1	protein_coding
Npc1	ENSMUSG00000024413	18145	Npc1	18	NPC intracellular cholesterol transporter 1	protein_coding
Gm15956	ENSMUSG00000086935	NA	Gm15956	18	predicted gene 15956	lncRNA
Ankrd29	ENSMUSG00000057766	225187	Ankrd29	18	ankyrin repeat domain 29	protein_coding
Lama3	ENSMUSG00000024421	16774	Lama3	18	laminin, alpha 3	protein_coding
Ttc39c	ENSMUSG00000024424	72747	Ttc39c	18	tetratricopeptide repeat domain 39C	protein_coding
Cabyr	ENSMUSG00000024430	71132	Cabyr	18	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)	protein_coding
Osbpl1a	ENSMUSG00000044252	64291	Osbpl1a	18	oxysterol binding protein-like 1A	protein_coding
Impact	ENSMUSG00000024423	16210	Impact	18	impact, RWD domain protein	protein_coding
Zfp521	ENSMUSG00000024420	225207	Zfp521	18	zinc finger protein 521	protein_coding
Gm5160	ENSMUSG00000055795	NA	Gm5160	18	predicted gene 5160	processed_pseudogene
Ss18	ENSMUSG00000037013	268996	Ss18	18	SS18, nBAF chromatin remodeling complex subunit	protein_coding
Psma8	ENSMUSG00000036743	73677	Psma8	18	proteasome (prosome, macropain) subunit, alpha type, 8	protein_coding
Taf4b	ENSMUSG00000054321	72504	Taf4b	18	TATA-box binding protein associated factor 4b	protein_coding
Kctd1	ENSMUSG00000036225	106931	Kctd1	18	potassium channel tetramerisation domain containing 1	protein_coding
Aqp4	ENSMUSG00000024411	11829	Aqp4	18	aquaporin 4	protein_coding
Chst9	ENSMUSG00000047161	71367	Chst9	18	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	protein_coding
Gm10036	ENSMUSG00000058064	NA	Gm10036	18	predicted gene 10036	processed_pseudogene
Cdh2	ENSMUSG00000024304	12558	Cdh2	18	cadherin 2	protein_coding
Gm15328	ENSMUSG00000086095	NA	Gm15328	18	predicted gene 15328	lncRNA
Dsc3	ENSMUSG00000059898	13507	Dsc3	18	desmocollin 3	protein_coding
Dsc2	ENSMUSG00000024331	13506	Dsc2	18	desmocollin 2	protein_coding
Dsg3	ENSMUSG00000056632	13512	Dsg3	18	desmoglein 3	protein_coding
Dsg2	ENSMUSG00000044393	13511	Dsg2	18	desmoglein 2	protein_coding
Ttr	ENSMUSG00000061808	22139	Ttr	18	transthyretin	protein_coding
Gm10269	ENSMUSG00000091449	NA	Gm10269	18	predicted gene 10269	processed_pseudogene
B4galt6	ENSMUSG00000056124	56386	B4galt6	18	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	protein_coding
Trappc8	ENSMUSG00000033382	75964	Trappc8	18	trafficking protein particle complex 8	protein_coding
Rnf125	ENSMUSG00000033107	67664	Rnf125	18	ring finger protein 125	protein_coding
Rnf138	ENSMUSG00000024317	56515	Rnf138	18	ring finger protein 138	protein_coding
Garem1	ENSMUSG00000042680	381126	Garem1	18	GRB2 associated regulator of MAPK1 subtype 1	protein_coding
Klhl14	ENSMUSG00000042514	225266	Klhl14	18	kelch-like 14	protein_coding
4930426D05Rik	ENSMUSG00000043168	74644	4930426D05Rik	18	RIKEN cDNA 4930426D05 gene	lncRNA
Asxl3	ENSMUSG00000045215	211961	Asxl3	18	additional sex combs like 3, transcriptional regulator	protein_coding
Nol4	ENSMUSG00000041923	319211	Nol4	18	nucleolar protein 4	protein_coding
Dtna	ENSMUSG00000024302	13527	Dtna	18	dystrobrevin alpha	protein_coding
Gm15972	ENSMUSG00000086287	NA	Gm15972	18	predicted gene 15972	lncRNA
Mapre2	ENSMUSG00000024277	212307	Mapre2	18	microtubule-associated protein, RP/EB family, member 2	protein_coding
Zfp397	ENSMUSG00000024276	69256	Zfp397	18	zinc finger protein 397	protein_coding
Zfp35	ENSMUSG00000063281	22694	Zfp35	18	zinc finger protein 35	protein_coding
Zfp24	ENSMUSG00000051469	59057	Zfp24	18	zinc finger protein 24	protein_coding
Ino80c	ENSMUSG00000047989	225280	Ino80c	18	INO80 complex subunit C	protein_coding
Galnt1	ENSMUSG00000000420	14423	Galnt1	18	polypeptide N-acetylgalactosaminyltransferase 1	protein_coding
2700062C07Rik	ENSMUSG00000024273	68046	2700062C07Rik	18	RIKEN cDNA 2700062C07 gene	protein_coding
Rprd1a	ENSMUSG00000040446	225283	Rprd1a	18	regulation of nuclear pre-mRNA domain containing 1A	protein_coding
Slc39a6	ENSMUSG00000024270	106957	Slc39a6	18	solute carrier family 39 (metal ion transporter), member 6	protein_coding
Elp2	ENSMUSG00000024271	58523	Elp2	18	elongator acetyltransferase complex subunit 2	protein_coding
Mocos	ENSMUSG00000039616	68591	Mocos	18	molybdenum cofactor sulfurase	protein_coding
Fhod3	ENSMUSG00000034295	225288	Fhod3	18	formin homology 2 domain containing 3	protein_coding
Tpgs2	ENSMUSG00000024269	66648	Tpgs2	18	tubulin polyglutamylase complex subunit 2	protein_coding
AW554918	ENSMUSG00000033632	225289	AW554918	18	expressed sequence AW554918	protein_coding
Celf4	ENSMUSG00000024268	108013	Celf4	18	CUGBP, Elav-like family member 4	protein_coding
0710001A04Rik	ENSMUSG00000114511	NA	0710001A04Rik	18	RIKEN cDNA 0710001A04 gene	lncRNA
Pik3c3	ENSMUSG00000033628	225326	Pik3c3	18	phosphatidylinositol 3-kinase catalytic subunit type 3	protein_coding
Rit2	ENSMUSG00000057455	19762	Rit2	18	Ras-like without CAAX 2	protein_coding
Syt4	ENSMUSG00000024261	20983	Syt4	18	synaptotagmin IV	protein_coding
Slc25a46	ENSMUSG00000024259	67453	Slc25a46	18	solute carrier family 25, member 46	protein_coding
B930094E09Rik	ENSMUSG00000092124	NA	B930094E09Rik	18	RIKEN cDNA B930094E09 gene	protein_coding
Sap130	ENSMUSG00000024260	269003	Sap130	18	Sin3A associated protein	protein_coding
Ammecr1l	ENSMUSG00000041915	225339	Ammecr1l	18	AMME chromosomal region gene 1-like	protein_coding
Gm26533	ENSMUSG00000097748	NA	Gm26533	18	predicted gene, 26533	lncRNA
Polr2d	ENSMUSG00000024258	69241	Polr2d	18	polymerase (RNA) II (DNA directed) polypeptide D	protein_coding
Wdr33	ENSMUSG00000024400	74320	Wdr33	18	WD repeat domain 33	protein_coding
Sft2d3	ENSMUSG00000044982	67158	Sft2d3	18	SFT2 domain containing 3	protein_coding
Lims2	ENSMUSG00000024395	225341	Lims2	18	LIM and senescent cell antigen like domains 2	protein_coding
Iws1	ENSMUSG00000024384	73473	Iws1	18	IWS1, SUPT6 interacting protein	protein_coding
Proc	ENSMUSG00000024386	19123	Proc	18	protein C	protein_coding
Gm26717	ENSMUSG00000097363	NA	Gm26717	18	predicted gene, 26717	lncRNA
Map3k2	ENSMUSG00000024383	26405	Map3k2	18	mitogen-activated protein kinase kinase kinase 2	protein_coding
Ercc3	ENSMUSG00000024382	13872	Ercc3	18	excision repair cross-complementing rodent repair deficiency, complementation group 3	protein_coding
A830052D11Rik	ENSMUSG00000097413	NA	A830052D11Rik	18	RIKEN cDNA A830052D11 gene	lncRNA
Bin1	ENSMUSG00000024381	30948	Bin1	18	bridging integrator 1	protein_coding
Gypc	ENSMUSG00000090523	71683	Gypc	18	glycophorin C	protein_coding
Tslp	ENSMUSG00000024379	53603	Tslp	18	thymic stromal lymphopoietin	protein_coding
Wdr36	ENSMUSG00000038299	225348	Wdr36	18	WD repeat domain 36	protein_coding
Camk4	ENSMUSG00000038128	12326	Camk4	18	calcium/calmodulin-dependent protein kinase IV	protein_coding
Stard4	ENSMUSG00000024378	170459	Stard4	18	StAR-related lipid transfer (START) domain containing 4	protein_coding
Nrep	ENSMUSG00000042834	27528	Nrep	18	neuronal regeneration related protein	protein_coding
Epb41l4aos	ENSMUSG00000087590	NA	Epb41l4aos	18	erythrocyte membrane protein band 4.1 like 4a, opposite strand	lncRNA
Epb41l4a	ENSMUSG00000024376	13824	Epb41l4a	18	erythrocyte membrane protein band 4.1 like 4a	protein_coding
Apc	ENSMUSG00000005871	11789	Apc	18	APC, WNT signaling pathway regulator	protein_coding
Srp19	ENSMUSG00000014504	66384	Srp19	18	signal recognition particle 19	protein_coding
Reep5	ENSMUSG00000005873	13476	Reep5	18	receptor accessory protein 5	protein_coding
Pkd2l2	ENSMUSG00000014503	53871	Pkd2l2	18	polycystic kidney disease 2-like 2	protein_coding
Fam13b	ENSMUSG00000036501	225358	Fam13b	18	family with sequence similarity 13, member B	protein_coding
Nme5	ENSMUSG00000035984	75533	Nme5	18	NME/NM23 family member 5	protein_coding
4933408B17Rik	ENSMUSG00000049357	271508	4933408B17Rik	18	RIKEN cDNA 4933408B17 gene	protein_coding
Brd8	ENSMUSG00000003778	78656	Brd8	18	bromodomain containing 8	protein_coding
Kif20a	ENSMUSG00000003779	19348	Kif20a	18	kinesin family member 20A	protein_coding
Cdc23	ENSMUSG00000024370	52563	Cdc23	18	CDC23 cell division cycle 23	protein_coding
Gfra3	ENSMUSG00000024366	14587	Gfra3	18	glial cell line derived neurotrophic factor family receptor alpha 3	protein_coding
Cdc25c	ENSMUSG00000044201	12532	Cdc25c	18	cell division cycle 25C	protein_coding
Gm3550	ENSMUSG00000078240	NA	Gm3550	18	predicted gene 3550	protein_coding
2010110K18Rik	ENSMUSG00000097755	NA	2010110K18Rik	18	RIKEN cDNA 2010110K18 gene	lncRNA
Fam53c	ENSMUSG00000034300	66306	Fam53c	18	family with sequence similarity 53, member C	protein_coding
Kdm3b	ENSMUSG00000038773	277250	Kdm3b	18	KDM3B lysine (K)-specific demethylase 3B	protein_coding
Reep2	ENSMUSG00000038555	225362	Reep2	18	receptor accessory protein 2	protein_coding
Egr1	ENSMUSG00000038418	13653	Egr1	18	early growth response 1	protein_coding
Etf1	ENSMUSG00000024360	225363	Etf1	18	eukaryotic translation termination factor 1	protein_coding
Hspa9	ENSMUSG00000024359	15526	Hspa9	18	heat shock protein 9	protein_coding
Ctnna1	ENSMUSG00000037815	12385	Ctnna1	18	catenin (cadherin associated protein), alpha 1	protein_coding
Lrrtm2	ENSMUSG00000071862	107065	Lrrtm2	18	leucine rich repeat transmembrane neuronal 2	protein_coding
Sil1	ENSMUSG00000024357	81500	Sil1	18	endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae)	protein_coding
Gm5239	ENSMUSG00000062742	NA	Gm5239	18	predicted pseudogene 5239	processed_pseudogene
Matr3	ENSMUSG00000037236	17184	Matr3	18	matrin 3	protein_coding
Paip2	ENSMUSG00000037058	67869	Paip2	18	polyadenylate-binding protein-interacting protein 2	protein_coding
Slc23a1	ENSMUSG00000024354	20522	Slc23a1	18	solute carrier family 23 (nucleobase transporters), member 1	protein_coding
Prob1	ENSMUSG00000073600	381148	Prob1	18	proline rich basic protein 1	protein_coding
Spata24	ENSMUSG00000024352	71242	Spata24	18	spermatogenesis associated 24	protein_coding
Dnajc18	ENSMUSG00000024350	76594	Dnajc18	18	DnaJ heat shock protein family (Hsp40) member C18	protein_coding
1700066B19Rik	ENSMUSG00000073598	73449	1700066B19Rik	18	RIKEN cDNA 1700066B19 gene	protein_coding
Ecscr	ENSMUSG00000073599	68545	Ecscr	18	endothelial cell surface expressed chemotaxis and apoptosis regulator	protein_coding
Tmem173	ENSMUSG00000024349	72512	Tmem173	18	transmembrane protein 173	protein_coding
Ube2d2a	ENSMUSG00000091896	56550	Ube2d2a	18	ubiquitin-conjugating enzyme E2D 2A	protein_coding
Cxxc5	ENSMUSG00000046668	67393	Cxxc5	18	CXXC finger 5	protein_coding
Gm29417	ENSMUSG00000100320	NA	Gm29417	18	predicted gene 29417	lncRNA
Psd2	ENSMUSG00000024347	74002	Psd2	18	pleckstrin and Sec7 domain containing 2	protein_coding
Nrg2	ENSMUSG00000060275	100042150	Nrg2	18	neuregulin 2	protein_coding
Pura	ENSMUSG00000043991	19290	Pura	18	purine rich element binding protein A	protein_coding
Igip	ENSMUSG00000110185	109169	Igip	18	IgA inducing protein	protein_coding
Cystm1	ENSMUSG00000046727	66060	Cystm1	18	cysteine-rich transmembrane module containing 1	protein_coding
Pfdn1	ENSMUSG00000024346	67199	Pfdn1	18	prefoldin 1	protein_coding
Hbegf	ENSMUSG00000024486	15200	Hbegf	18	heparin-binding EGF-like growth factor	protein_coding
Slc4a9	ENSMUSG00000024485	240215	Slc4a9	18	solute carrier family 4, sodium bicarbonate cotransporter, member 9	protein_coding
Ankhd1	ENSMUSG00000024483	108857	Ankhd1	18	ankyrin repeat and KH domain containing 1	protein_coding
Sra1	ENSMUSG00000006050	24068	Sra1	18	steroid receptor RNA activator 1	protein_coding
Slc35a4	ENSMUSG00000033272	67843	Slc35a4	18	solute carrier family 35, member A4	protein_coding
E230025N22Rik	ENSMUSG00000044719	240216	E230025N22Rik	18	Riken cDNA E230025N22 gene	protein_coding
Cd14	ENSMUSG00000051439	12475	Cd14	18	CD14 antigen	protein_coding
Tmco6	ENSMUSG00000006850	71983	Tmco6	18	transmembrane and coiled-coil domains 6	protein_coding
Ndufa2	ENSMUSG00000014294	17991	Ndufa2	18	NADH:ubiquinone oxidoreductase subunit A2	protein_coding
Ik	ENSMUSG00000024474	24010	Ik	18	IK cytokine	protein_coding
Wdr55	ENSMUSG00000042660	67936	Wdr55	18	WD repeat domain 55	protein_coding
Dnd1	ENSMUSG00000044595	213236	Dnd1	18	DND microRNA-mediated repression inhibitor 1	protein_coding
Hars	ENSMUSG00000001380	15115	Hars	18	histidyl-tRNA synthetase	protein_coding
Hars2	ENSMUSG00000019143	70791	Hars2	18	histidyl-tRNA synthetase 2	protein_coding
Zmat2	ENSMUSG00000001383	66492	Zmat2	18	zinc finger, matrin type 2	protein_coding
Pcdha5	ENSMUSG00000103092	12941	Pcdha5	18	protocadherin alpha 5	protein_coding
Pcdha11	ENSMUSG00000102206	12942	Pcdha11	18	protocadherin alpha 11	protein_coding
Pcdha12	ENSMUSG00000103310	192164	Pcdha12	18	protocadherin alpha 12	protein_coding
Pcdhac2	ENSMUSG00000102697	353237	Pcdhac2	18	protocadherin alpha subfamily C, 2	protein_coding
Pcdhb2	ENSMUSG00000051599	93873	Pcdhb2	18	protocadherin beta 2	protein_coding
Pcdhb3	ENSMUSG00000045498	93874	Pcdhb3	18	protocadherin beta 3	protein_coding
Pcdhb4	ENSMUSG00000045689	93875	Pcdhb4	18	protocadherin beta 4	protein_coding
Pcdhb5	ENSMUSG00000063687	93876	Pcdhb5	18	protocadherin beta 5	protein_coding
Pcdhb6	ENSMUSG00000051678	93877	Pcdhb6	18	protocadherin beta 6	protein_coding
Pcdhb7	ENSMUSG00000045062	93878	Pcdhb7	18	protocadherin beta 7	protein_coding
Pcdhb8	ENSMUSG00000045876	93879	Pcdhb8	18	protocadherin beta 8	protein_coding
Pcdhb9	ENSMUSG00000051242	93880	Pcdhb9	18	protocadherin beta 9	protein_coding
Pcdhb10	ENSMUSG00000045657	93881	Pcdhb10	18	protocadherin beta 10	protein_coding
Pcdhb11	ENSMUSG00000051486	93882	Pcdhb11	18	protocadherin beta 11	protein_coding
Pcdhb12	ENSMUSG00000043458	93883	Pcdhb12	18	protocadherin beta 12	protein_coding
Pcdhb13	ENSMUSG00000047307	93884	Pcdhb13	18	protocadherin beta 13	protein_coding
Pcdhb14	ENSMUSG00000044043	93885	Pcdhb14	18	protocadherin beta 14	protein_coding
Pcdhb15	ENSMUSG00000047033	93886	Pcdhb15	18	protocadherin beta 15	protein_coding
Pcdhb16	ENSMUSG00000047910	93887	Pcdhb16	18	protocadherin beta 16	protein_coding
Pcdhb17	ENSMUSG00000046387	93888	Pcdhb17	18	protocadherin beta 17	protein_coding
Pcdhb18	ENSMUSG00000048347	93889	Pcdhb18	18	protocadherin beta 18	protein_coding
Pcdhb19	ENSMUSG00000043313	93890	Pcdhb19	18	protocadherin beta 19	protein_coding
Pcdhb20	ENSMUSG00000046191	93891	Pcdhb20	18	protocadherin beta 20	protein_coding
Pcdhb21	ENSMUSG00000044022	93892	Pcdhb21	18	protocadherin beta 21	protein_coding
Pcdhb22	ENSMUSG00000073591	93893	Pcdhb22	18	protocadherin beta 22	protein_coding
Slc25a2	ENSMUSG00000050304	83885	Slc25a2	18	solute carrier family 25 (mitochondrial carrier, ornithine transporter) member 2	protein_coding
Taf7	ENSMUSG00000051316	24074	Taf7	18	TATA-box binding protein associated factor 7	protein_coding
3222401L13Rik	ENSMUSG00000073590	NA	3222401L13Rik	18	RIKEN cDNA 3222401L13 gene	lncRNA
Pcdhga1	ENSMUSG00000103144	93709	Pcdhga1	18	protocadherin gamma subfamily A, 1	protein_coding
Pcdhga2	ENSMUSG00000103332	93710	Pcdhga2	18	protocadherin gamma subfamily A, 2	protein_coding
Pcdhga3	ENSMUSG00000104346	93711	Pcdhga3	18	protocadherin gamma subfamily A, 3	protein_coding
Pcdhgb1	ENSMUSG00000103037	93699	Pcdhgb1	18	protocadherin gamma subfamily B, 1	protein_coding
Pcdhga4	ENSMUSG00000103677	93712	Pcdhga4	18	protocadherin gamma subfamily A, 4	protein_coding
Pcdhgb2	ENSMUSG00000102748	93700	Pcdhgb2	18	protocadherin gamma subfamily B, 2	protein_coding
Pcdhga5	ENSMUSG00000103567	93713	Pcdhga5	18	protocadherin gamma subfamily A, 5	protein_coding
Pcdhga6	ENSMUSG00000103793	93714	Pcdhga6	18	protocadherin gamma subfamily A, 6	protein_coding
Pcdhga7	ENSMUSG00000103472	93715	Pcdhga7	18	protocadherin gamma subfamily A, 7	protein_coding
Pcdhgb4	ENSMUSG00000103585	93701	Pcdhgb4	18	protocadherin gamma subfamily B, 4	protein_coding
Pcdhga8	ENSMUSG00000103897	93716	Pcdhga8	18	protocadherin gamma subfamily A, 8	protein_coding
Pcdhgb5	ENSMUSG00000103749	93702	Pcdhgb5	18	protocadherin gamma subfamily B, 5	protein_coding
Pcdhga9	ENSMUSG00000102440	93717	Pcdhga9	18	protocadherin gamma subfamily A, 9	protein_coding
Pcdhgb6	ENSMUSG00000103088	93703	Pcdhgb6	18	protocadherin gamma subfamily B, 6	protein_coding
Pcdhga10	ENSMUSG00000102222	93722	Pcdhga10	18	protocadherin gamma subfamily A, 10	protein_coding
Pcdhgb7	ENSMUSG00000104063	93704	Pcdhgb7	18	protocadherin gamma subfamily B, 7	protein_coding
Pcdhga11	ENSMUSG00000102742	93723	Pcdhga11	18	protocadherin gamma subfamily A, 11	protein_coding
Pcdhga12	ENSMUSG00000102428	93724	Pcdhga12	18	protocadherin gamma subfamily A, 12	protein_coding
BC037039	ENSMUSG00000103309	NA	BC037039	18	cDNA sequence BC037039	lncRNA
Pcdhgc3	ENSMUSG00000102918	93706	Pcdhgc3	18	protocadherin gamma subfamily C, 3	protein_coding
Pcdhgc4	ENSMUSG00000023036	93707	Pcdhgc4	18	protocadherin gamma subfamily C, 4	protein_coding
Pcdhgc5	ENSMUSG00000102543	93708	Pcdhgc5	18	protocadherin gamma subfamily C, 5	protein_coding
Gm29994	ENSMUSG00000102713	NA	Gm29994	18	predicted gene, 29994	lncRNA
Diaph1	ENSMUSG00000024456	13367	Diaph1	18	diaphanous related formin 1	protein_coding
Hdac3	ENSMUSG00000024454	15183	Hdac3	18	histone deacetylase 3	protein_coding
Rell2	ENSMUSG00000044024	225392	Rell2	18	RELT-like 2	protein_coding
Fchsd1	ENSMUSG00000038524	319262	Fchsd1	18	FCH and double SH3 domains 1	protein_coding
Arap3	ENSMUSG00000024451	106952	Arap3	18	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein_coding
Pcdh1	ENSMUSG00000051375	75599	Pcdh1	18	protocadherin 1	protein_coding
1700086O06Rik	ENSMUSG00000097080	NA	1700086O06Rik	18	RIKEN cDNA 1700086O06 gene	lncRNA
0610009O20Rik	ENSMUSG00000024442	66839	Dele1	18	DAP3 binding cell death enhancer 1	protein_coding
Pcdh12	ENSMUSG00000024440	53601	Pcdh12	18	protocadherin 12	protein_coding
Rnf14	ENSMUSG00000060450	56736	Rnf14	18	ring finger protein 14	protein_coding
Gnpda1	ENSMUSG00000052102	26384	Gnpda1	18	glucosamine-6-phosphate deaminase 1	protein_coding
Ndfip1	ENSMUSG00000024425	65113	Ndfip1	18	Nedd4 family interacting protein 1	protein_coding
Spry4	ENSMUSG00000024427	24066	Spry4	18	sprouty RTK signaling antagonist 4	protein_coding
Arhgap26	ENSMUSG00000036452	71302	Arhgap26	18	Rho GTPase activating protein 26	protein_coding
Fgf1	ENSMUSG00000036585	14164	Fgf1	18	fibroblast growth factor 1	protein_coding
Gm15337	ENSMUSG00000085289	NA	Gm15337	18	predicted gene 15337	lncRNA
Nr3c1	ENSMUSG00000024431	14815	Nr3c1	18	nuclear receptor subfamily 3, group C, member 1	protein_coding
Yipf5	ENSMUSG00000024487	67180	Yipf5	18	Yip1 domain family, member 5	protein_coding
Kctd16	ENSMUSG00000051401	383348	Kctd16	18	potassium channel tetramerisation domain containing 16	protein_coding
Prelid2	ENSMUSG00000056671	77619	Prelid2	18	PRELI domain containing 2	protein_coding
Sh3rf2	ENSMUSG00000057719	269016	Sh3rf2	18	SH3 domain containing ring finger 2	protein_coding
Lars	ENSMUSG00000024493	107045	Lars	18	leucyl-tRNA synthetase	protein_coding
Rbm27	ENSMUSG00000024491	225432	Rbm27	18	RNA binding motif protein 27	protein_coding
Tcerg1	ENSMUSG00000024498	56070	Tcerg1	18	transcription elongation regulator 1 (CA150)	protein_coding
Ppp2r2b	ENSMUSG00000024500	72930	Ppp2r2b	18	protein phosphatase 2, regulatory subunit B, beta	protein_coding
Stk32a	ENSMUSG00000039954	269019	Stk32a	18	serine/threonine kinase 32A	protein_coding
Dpysl3	ENSMUSG00000024501	22240	Dpysl3	18	dihydropyrimidinase-like 3	protein_coding
Eif3j2	ENSMUSG00000043424	100042807	Eif3j2	18	eukaryotic translation initiation factor 3, subunit J2	protein_coding
Jakmip2	ENSMUSG00000024502	76217	Jakmip2	18	janus kinase and microtubule interacting protein 2	protein_coding
Spink5	ENSMUSG00000055561	72432	Spink5	18	serine peptidase inhibitor, Kazal type 5	protein_coding
Spink6	ENSMUSG00000055095	433180	Spink6	18	serine peptidase inhibitor, Kazal type 6	protein_coding
Npy6r	ENSMUSG00000038071	18169	Npy6r	18	neuropeptide Y receptor Y6	protein_coding
Dcp2	ENSMUSG00000024472	70640	Dcp2	18	decapping mRNA 2	protein_coding
Mcc	ENSMUSG00000071856	328949	Mcc	18	mutated in colorectal cancers	protein_coding
A930012L18Rik	ENSMUSG00000097610	NA	A930012L18Rik	18	RIKEN cDNA A930012L18 gene	lncRNA
Ythdc2	ENSMUSG00000034653	240255	Ythdc2	18	YTH domain containing 2	protein_coding
Kcnn2	ENSMUSG00000054477	140492	Kcnn2	18	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	protein_coding
Trim36	ENSMUSG00000033949	28105	Trim36	18	tripartite motif-containing 36	protein_coding
Pggt1b	ENSMUSG00000024477	225467	Pggt1b	18	protein geranylgeranyltransferase type I, beta subunit	protein_coding
Ccdc112	ENSMUSG00000071855	240261	Ccdc112	18	coiled-coil domain containing 112	protein_coding
Fem1c	ENSMUSG00000033319	240263	Fem1c	18	fem-1 homolog c (C.elegans)	protein_coding
Ticam2	ENSMUSG00000056130	225471	Ticam2	18	toll-like receptor adaptor molecule 2	protein_coding
Tmed7	ENSMUSG00000033184	66676	Tmed7	18	transmembrane p24 trafficking protein 7	protein_coding
Eif1a	ENSMUSG00000057561	13664	Eif1a	18	eukaryotic translation initiation factor 1A	protein_coding
Cdo1	ENSMUSG00000033022	12583	Cdo1	18	cysteine dioxygenase 1, cytosolic	protein_coding
Atg12	ENSMUSG00000032905	67526	Atg12	18	autophagy related 12	protein_coding
Ap3s1	ENSMUSG00000024480	11777	Ap3s1	18	adaptor-related protein complex 3, sigma 1 subunit	protein_coding
Lvrn	ENSMUSG00000024481	74574	Lvrn	18	laeverin	protein_coding
Arl14epl	ENSMUSG00000073568	381142	Arl14epl	18	ADP-ribosylation factor-like 14 effector protein-like	protein_coding
Commd10	ENSMUSG00000042705	69456	Commd10	18	COMM domain containing 10	protein_coding
Sema6a	ENSMUSG00000019647	20358	Sema6a	18	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	protein_coding
Eno1b	ENSMUSG00000059040	433182	Eno1b	18	enolase 1B, retrotransposed	protein_coding
Dtwd2	ENSMUSG00000024505	68857	Dtwd2	18	DTW domain containing 2	protein_coding
Dmxl1	ENSMUSG00000037416	240283	Dmxl1	18	Dmx-like 1	protein_coding
Tnfaip8	ENSMUSG00000062210	106869	Tnfaip8	18	tumor necrosis factor, alpha-induced protein 8	protein_coding
Hsd17b4	ENSMUSG00000024507	15488	Hsd17b4	18	hydroxysteroid (17-beta) dehydrogenase 4	protein_coding
Prr16	ENSMUSG00000073565	71373	Prr16	18	proline rich 16	protein_coding
Gm4950	ENSMUSG00000069379	NA	Gm4950	18	predicted pseudogene 4950	processed_pseudogene
Srfbp1	ENSMUSG00000024528	67222	Srfbp1	18	serum response factor binding protein 1	protein_coding
Lox	ENSMUSG00000024529	16948	Lox	18	lysyl oxidase	protein_coding
Zfp474	ENSMUSG00000046886	66758	Zfp474	18	zinc finger protein 474	protein_coding
1700034E13Rik	ENSMUSG00000024532	78414	1700034E13Rik	18	RIKEN cDNA 1700034E13 gene	protein_coding
Sncaip	ENSMUSG00000024534	67847	Sncaip	18	synuclein, alpha interacting protein (synphilin)	protein_coding
Snx2	ENSMUSG00000034484	67804	Snx2	18	sorting nexin 2	protein_coding
Snx24	ENSMUSG00000024535	69226	Snx24	18	sorting nexing 24	protein_coding
Ppic	ENSMUSG00000024538	19038	Ppic	18	peptidylprolyl isomerase C	protein_coding
Prdm6	ENSMUSG00000069378	225518	Prdm6	18	PR domain containing 6	protein_coding
Cep120	ENSMUSG00000048799	225523	Cep120	18	centrosomal protein 120	protein_coding
Csnk1g3	ENSMUSG00000073563	70425	Csnk1g3	18	casein kinase 1, gamma 3	protein_coding
Redrum	ENSMUSG00000096982	NA	Redrum	18	Redrum, erythroid developmental long intergenic non-protein coding transcript	lncRNA
Zfp608	ENSMUSG00000052713	269023	Zfp608	18	zinc finger protein 608	protein_coding
Gm4221	ENSMUSG00000096948	NA	Gm4221	18	predicted gene 4221	lncRNA
Gramd3	ENSMUSG00000001700	107022	Gramd3	18	GRAM domain containing 3	protein_coding
Aldh7a1	ENSMUSG00000053644	110695	Aldh7a1	18	aldehyde dehydrogenase family 7, member A1	protein_coding
Phax	ENSMUSG00000008301	56698	Phax	18	phosphorylated adaptor for RNA export	protein_coding
Lmnb1	ENSMUSG00000024590	16906	Lmnb1	18	lamin B1	protein_coding
March3	ENSMUSG00000032656	320253	March3	18	membrane-associated ring finger (C3HC4) 3	protein_coding
Gm15345	ENSMUSG00000087597	NA	Gm15345	18	predicted gene 15345	lncRNA
C330018D20Rik	ENSMUSG00000024592	77422	C330018D20Rik	18	RIKEN cDNA C330018D20 gene	protein_coding
Megf10	ENSMUSG00000024593	70417	Megf10	18	multiple EGF-like-domains 10	protein_coding
